*******************************************************************************
JPL/HORIZONS                105 Artemis (A868 SA)          2023-Mar-08 13:57:25
Rec #:     105 (+COV) Soln.date: 2023-Feb-07_17:41:51   # obs: 3712 (1904-2023)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456913.5 ! 2014-Sep-13.00 (TDB)         Residual RMS= .29433
   EC= .1775335375380825   QR= 1.95231471162692    TP= 2456647.8407295751
   OM= 188.2624584321404   W=  57.17740846655845   IN= 21.44130513211543
   A= 2.373731696953318    MA= 71.59482072237236   ADIST= 2.795148682279716
   PER= 3.65726            N= .269498673           ANGMOM= .026082127
   DAN= 2.09711            DDN= 2.5437             L= 243.5415389
   B= 17.8899231           MOID= 1.01241004        TP= 2013-Dec-21.3407295751
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 47.432             ROTPER= 37.15
   H= 8.73                 G= .100                 B-V= .693
                           ALBEDO= .032            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#134, OCC=0           radar( 2 delay, 0 Dop.)
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Mar  8 13:57:25 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 105 Artemis (A868 SA)           {source: JPL#134}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-11 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Nov-16 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456913.5 ! 2014-Sep-13.00 (TDB)         Residual RMS= .29433        
   EC= .1775335375380825   QR= 1.95231471162692    TP= 2456647.8407295751      
   OM= 188.2624584321404   W=  57.17740846655845   IN= 21.44130513211543       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 2.122422375463229E+00  Y=-9.151946216714217E-01  Z= 7.656369994922679E-02
  VX= 6.287048745082619E-03 VY= 9.551836313460927E-03 VZ= 6.980205163667589E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 47.432             ROTPER= 37.15               
   H= 8.73                 G= .100                 B-V= .693                   
                           ALBEDO= .032            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459924.500000000, A.D. 2022-Dec-11 00:00:00.0000,  2.501328403258430E+08,  3.138349793990002E+08, -1.078925815749334E+08,
2459925.500000000, A.D. 2022-Dec-12 00:00:00.0000,  2.490548771460914E+08,  3.146478076361012E+08, -1.082698743669238E+08,
2459926.500000000, A.D. 2022-Dec-13 00:00:00.0000,  2.479734818795538E+08,  3.154563184838178E+08, -1.086456807509232E+08,
2459927.500000000, A.D. 2022-Dec-14 00:00:00.0000,  2.468886708728766E+08,  3.162605027592745E+08, -1.090199962327650E+08,
2459928.500000000, A.D. 2022-Dec-15 00:00:00.0000,  2.458004604810318E+08,  3.170603513164009E+08, -1.093928163321615E+08,
2459929.500000000, A.D. 2022-Dec-16 00:00:00.0000,  2.447088670673971E+08,  3.178558550457741E+08, -1.097641365826373E+08,
2459930.500000000, A.D. 2022-Dec-17 00:00:00.0000,  2.436139070038370E+08,  3.186470048744634E+08, -1.101339525314641E+08,
2459931.500000000, A.D. 2022-Dec-18 00:00:00.0000,  2.425155966707851E+08,  3.194337917658765E+08, -1.105022597395960E+08,
2459932.500000000, A.D. 2022-Dec-19 00:00:00.0000,  2.414139524573278E+08,  3.202162067196064E+08, -1.108690537816051E+08,
2459933.500000000, A.D. 2022-Dec-20 00:00:00.0000,  2.403089907612893E+08,  3.209942407712817E+08, -1.112343302456173E+08,
2459934.500000000, A.D. 2022-Dec-21 00:00:00.0000,  2.392007279893170E+08,  3.217678849924173E+08, -1.115980847332500E+08,
2459935.500000000, A.D. 2022-Dec-22 00:00:00.0000,  2.380891805569692E+08,  3.225371304902670E+08, -1.119603128595488E+08,
2459936.500000000, A.D. 2022-Dec-23 00:00:00.0000,  2.369743648888035E+08,  3.233019684076780E+08, -1.123210102529261E+08,
2459937.500000000, A.D. 2022-Dec-24 00:00:00.0000,  2.358562974184659E+08,  3.240623899229472E+08, -1.126801725550994E+08,
2459938.500000000, A.D. 2022-Dec-25 00:00:00.0000,  2.347349945887815E+08,  3.248183862496775E+08, -1.130377954210307E+08,
2459939.500000000, A.D. 2022-Dec-26 00:00:00.0000,  2.336104728518475E+08,  3.255699486366395E+08, -1.133938745188664E+08,
2459940.500000000, A.D. 2022-Dec-27 00:00:00.0000,  2.324827486691247E+08,  3.263170683676304E+08, -1.137484055298773E+08,
2459941.500000000, A.D. 2022-Dec-28 00:00:00.0000,  2.313518385115326E+08,  3.270597367613361E+08, -1.141013841484001E+08,
2459942.500000000, A.D. 2022-Dec-29 00:00:00.0000,  2.302177588595446E+08,  3.277979451711976E+08, -1.144528060817787E+08,
2459943.500000000, A.D. 2022-Dec-30 00:00:00.0000,  2.290805262032845E+08,  3.285316849852749E+08, -1.148026670503060E+08,
