*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Mar  8 14:25:20 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-11 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Nov-16 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230306.p230530
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-06. PREDICTS-> 2023-MAY-29
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459924.500000000, A.D. 2022-Dec-11 00:00:00.0000, -1.362238612422592E+05,  3.803349720324654E+05,  3.364813961438424E+04,
2459925.500000000, A.D. 2022-Dec-12 00:00:00.0000, -2.117025003422002E+05,  3.444196092692001E+05,  3.586485664733479E+04,
2459926.500000000, A.D. 2022-Dec-13 00:00:00.0000, -2.775588240168283E+05,  2.932031222516925E+05,  3.645989554565742E+04,
2459927.500000000, A.D. 2022-Dec-14 00:00:00.0000, -3.307791355731161E+05,  2.289061822720357E+05,  3.540035860153599E+04,
2459928.500000000, A.D. 2022-Dec-15 00:00:00.0000, -3.687836818179539E+05,  1.542716905114063E+05,  3.271580995975930E+04,
2459929.500000000, A.D. 2022-Dec-16 00:00:00.0000, -3.894941304731139E+05,  7.252277495313215E+04,  2.849934888363195E+04,
2459930.500000000, A.D. 2022-Dec-17 00:00:00.0000, -3.914186917013921E+05, -1.267323550789313E+04,  2.291009336402679E+04,
2459931.500000000, A.D. 2022-Dec-18 00:00:00.0000, -3.737673177578039E+05, -9.725067446106519E+04,  1.617676587319111E+04,
2459932.500000000, A.D. 2022-Dec-19 00:00:00.0000, -3.366018896056850E+05, -1.768270641663567E+05,  8.600945064029271E+03,
2459933.500000000, A.D. 2022-Dec-20 00:00:00.0000, -2.810111161915360E+05, -2.468542815918087E+05,  5.570872821605008E+02,
2459934.500000000, A.D. 2022-Dec-21 00:00:00.0000, -2.092755195113421E+05, -3.028734052117357E+05, -7.515040096886398E+03,
2459935.500000000, A.D. 2022-Dec-22 00:00:00.0000, -1.249583946809789E+05, -3.408893917551416E+05, -1.513042841521854E+04,
2459936.500000000, A.D. 2022-Dec-23 00:00:00.0000, -3.283905313308334E+04, -3.578380145059701E+05, -2.179453754570376E+04,
2459937.500000000, A.D. 2022-Dec-24 00:00:00.0000,  6.138024266953493E+04, -3.520551624478029E+05, -2.705267374140167E+04,
2459938.500000000, A.D. 2022-Dec-25 00:00:00.0000,  1.515958827661175E+05, -3.236107521714030E+05, -3.054386336495963E+04,
2459939.500000000, A.D. 2022-Dec-26 00:00:00.0000,  2.319575634405364E+05, -2.743814354479631E+05, -3.204500558102354E+04,
2459940.500000000, A.D. 2022-Dec-27 00:00:00.0000,  2.974911918924338E+05, -2.078221173229647E+05, -3.149272904699856E+04,
2459941.500000000, A.D. 2022-Dec-28 00:00:00.0000,  3.445372156767244E+05, -1.285097963821124E+05, -2.897875545051353E+04,
